# USDA SR28 NDB number | Ukrainian name | optional synonyms (semicolon separated)
11008|Артишок варений без солі|
11027|Пагони бамбука варені без солі|
11044|Паростки машу варені без солі|
11053|Квасоля стручкова зелена варена без солі|
11087|Бурякове бадилля варене без солі|
11091|Броколі варена без солі|
11099|Капуста брюссельська варена без солі|
11110|Капуста білокачанна варена без солі|
11113|Капуста червонокачанна варена без солі|
11115|Капуста савойська варена без солі|
11117|Пак-чой варений без солі|бок чой варений
11120|Капуста пекінська варена без солі|
11125|Морква варена без солі|
11136|Цвітна капуста варена без солі|
11142|Корінь селери варений без солі|
11144|Селера стеблова варена без солі|
11148|Мангольд варений без солі|
11168|Кукурудза солодка жовта варена без солі|
11210|Баклажан варений без солі|
11234|Кейл варений без солі|капуста кале варена
11242|Кольрабі варена без солі|
11247|Цибуля-порей варена без солі|
11261|Печериці білі варені без солі|шампіньйони варені
11279|Бамія варена без солі|окра варена
11283|Цибуля ріпчаста варена без солі|
11299|Пастернак варений без солі|
11305|Горошок зелений варений без солі|
11334|Перець солодкий зелений варений без солі|
11423|Гарбуз варений без солі|
11431|Дайкон варений без солі|
11436|Бруква варена без солі|
11451|Соя зелена варена без солі|едамаме варені
11458|Шпинат варений без солі|
11478|Цукіні зі шкіркою варені без солі|
11565|Ріпа варена без солі|
11823|Перець солодкий червоний варений без солі|
09004|Яблуко свіже без шкірки|
09011|Яблука сушені, оброблені сульфітами|
09044|Вишня сушена підсолоджена|
09060|Карамбола свіжа|
09062|Черимоя свіжа|
09079|Журавлина сушена підсолоджена|
09084|Смородина червона та біла свіжа|порічки
09094|Інжир сушений|
09110|Ягоди годжі сушені|годжі
09138|Фізаліс свіжий|
09139|Гуава свіжа|
09144|Джекфрут свіжий|
09146|Унабі свіжий|зизифус
09149|Кумкват свіжий|
09152|Лимонний сік свіжий|
09156|Лимонна цедра свіжа|
09160|Сік лайма свіжий|
09163|Лохина сушена підсолоджена|
09164|Лічі свіжі|
09172|Лонган свіжий|
09178|Манго сушене підсолоджене|
09181|Диня канталупа свіжа|
09184|Диня медова свіжа|
09190|Шовковиця свіжа|
09216|Апельсинова цедра свіжа|
09221|Мандариновий сік свіжий|
09231|Маракуя фіолетова свіжа|
09277|Плантан сирий|овочевий банан сирий
09295|Помело свіже|
09296|Айва свіжа|
09307|Ревінь сирий|
09318|Полуниця заморожена без цукру|
09322|Тамаринд сирий|
09334|Фейхоа свіжа|
09340|Груша азійська свіжа|наші груша
09433|Клементин свіжий|
20001|Амарант зерно сухе|
20002|Амарант варений|
20003|Борошно з маранти|арорут
20011|Борошно гречане цільнозернове|
20015|Висівки кукурудзяні сирі|
20016|Борошно кукурудзяне цільнозернове жовте|
20027|Крохмаль кукурудзяний|
20033|Висівки вівсяні сирі|
20034|Висівки вівсяні варені|
20060|Висівки рисові сирі|
20062|Жито зерно сухе|
20067|Сорго зерно сухе|
20068|Тапіока перлова суха|
20077|Висівки пшеничні сирі|
20078|Зародки пшениці сирі|
20080|Борошно пшеничне цільнозернове|
20087|Пшениця пророщена|
20088|Рис дикий сухий|
20089|Рис дикий варений|
20090|Борошно з коричневого рису|
20091|Макарони кукурудзяні безглютенові сухі|
20092|Макарони кукурудзяні безглютенові варені|
20095|Паста свіжа зі шпинатом, до варіння|
20096|Паста свіжа зі шпинатом, варена|
20114|Локшина соба суха|соба гречана суха
20115|Локшина соба варена|соба гречана варена
20116|Локшина сомен суха|
20117|Локшина сомен варена|
20124|Макарони цільнозернові сухі|
20125|Макарони цільнозернові варені|
20130|Борошно ячмінне|
20134|Локшина рисова варена|
20138|Пшениця хорасан камут суха|
20139|Пшениця хорасан камут варена|
20140|Спельта суха|полба суха
20141|Спельта варена|полба варена
20142|Теф сухий|
20143|Теф варений|
20647|Борошно пшоняне|
20648|Борошно сорго цільнозернове|
12078|Бразильський горіх сушений неочищений від шкірки|
12115|Кокосові вершки сирі|
12117|Кокосове молоко сире|
12118|Кокосове молоко консервоване|
12119|Кокосова вода|
12131|Макадамія сира|
12142|Пекан|
12147|Кедрові горіхи сушені|
12166|Тахіні з обсмаженого кунжуту|кунжутна паста тахіні
12167|Каштани європейські смажені|
12174|Ядра насіння кавуна сушені|
16002|Квасоля адзукі варена без солі|
16015|Квасоля чорна варена без солі|
16020|Квасоля борлотті варена без солі|римська квасоля варена
16038|Квасоля біла дрібна Navy варена без солі|
16043|Квасоля пінто варена без солі|
16053|Боби фава зрілі варені без солі|
16063|Квасоля чорноока варена без солі|вігна варена
16072|Квасоля ліма велика варена без солі|
16077|Люпин зрілий варений без солі|
16081|Маш варений без солі|
15009|Короп запечений|
15016|Тріска атлантична запечена|
15026|Вугор запечений|
15029|Камбала запечена|
15034|Пікша запечена|
15037|Палтус атлантичний або тихоокеанський запечений|
15040|Оселедець атлантичний запечений|
15047|Скумбрія атлантична запечена|
15061|Окунь запечений|
15063|Щука запечена|
15067|Минтай запечений|
15086|Нерка запечена|
15092|Морський окунь запечений|
15105|Осетер запечений|
15116|Форель райдужна дика запечена|
15118|Тунець синій запечений|
15190|Минь запечений|
15211|Кета запечена|
15212|Горбуша запечена|
15262|Тілапія запечена|
01020|Сир фонтіна|
01021|Сир гейтост|брюност
01023|Сир грюєр|грюйер
01024|Сир лімбургер|
01025|Сир монтерей джек|
01030|Сир мюнстер|
01031|Сир нешатель|
01035|Сир проволоне|
01038|Сир романо|
01039|Сир рокфор|
01040|Сир швейцарський|
01041|Сир тільзитер|
01156|Козячий сир твердий|
01157|Козячий сир напівм'який|
01159|Козячий сир м'який|
